2026-05-06 22:01:11 | ::1 | GET | /logs | 200 | logs page
2026-05-06 22:01:28 | ::1 | GET | / | 200 | panel
2026-05-06 22:11:27 | 192.168.1.21 | GET | / | 200 | panel
2026-05-06 22:11:27 | 192.168.1.21 | GET | /favicon.ico | 204 | favicon
2026-05-06 22:12:52 | 192.168.1.21 | POST | /chat | 200 | chat sent
2026-05-06 22:14:16 | 192.168.1.21 | POST | /chat | 200 | chat sent
2026-05-06 22:14:57 | 192.168.1.21 | GET | / | 200 | panel
2026-05-06 22:14:57 | 192.168.1.21 | GET | /favicon.ico | 204 | favicon
2026-05-06 22:15:00 | 192.168.1.21 | GET | /health | 200 | health
2026-05-06 22:15:03 | 192.168.1.21 | GET | /logs | 200 | logs page
2026-05-06 22:15:03 | 192.168.1.21 | GET | /favicon.ico | 204 | favicon
2026-05-06 22:15:50 | ::1 | POST | /chat | 200 | chat sent
2026-05-06 22:16:24 | 192.168.1.21 | POST | /chat | 200 | chat sent
2026-05-06 22:16:37 | 192.168.1.21 | POST | /chat | 200 | chat sent
2026-05-06 22:19:11 | 192.168.1.21 | GET | / | 200 | panel
2026-05-06 22:19:11 | 192.168.1.21 | GET | /favicon.ico | 204 | favicon
2026-05-06 22:19:25 | 192.168.1.21 | POST | /chat | 200 | chat sent
2026-05-06 22:21:17 | ::1 | POST | /chat | 200 | chat sent
2026-05-06 22:21:20 | ::1 | GET | /chat | 200 | chat sent
2026-05-06 22:21:34 | 192.168.1.21 | GET | / | 200 | panel
2026-05-06 22:21:34 | 192.168.1.21 | GET | /favicon.ico | 204 | favicon
2026-05-06 22:21:40 | 192.168.1.21 | POST | /chat | 200 | chat sent
2026-05-06 22:22:30 | 192.168.1.21 | GET | / | 200 | panel
2026-05-06 22:22:30 | 192.168.1.21 | GET | /favicon.ico | 204 | favicon
2026-05-06 22:22:40 | 192.168.1.21 | POST | /chat | 200 | chat sent
